feature,train_weighted_corr,valid_weighted_corr,single_feature_valid_r2
ts_minus_ema20_feature_284,0.0551975585057282,0.0554884164517773,0.8260259148471796
feature_284,0.04408078626612192,0.053545183440632776,0.82599017575871
feature_286,0.03574551265996687,0.03710129718703028,0.8257405485508721
feature_213,0.03853174837194815,0.03748915529372675,0.8257392134909337
feature_095,0.0517669886774737,0.03927240027373722,0.8257378232203105
ts_historical_zscore20_feature_115,0.023658084620765678,0.04235106976424436,0.825736818807141
feature_120,-0.020206180605656147,-0.039377288948916296,0.8257184728262005
feature_247,-0.029659322401206424,-0.029222401892978776,0.825694431444433
feature_036,-0.01668660682658348,-0.04556206760923246,0.825686665746419
feature_090,0.022466194935763944,0.03398834607587052,0.825673957554984
ts_rolling_std20_feature_023,0.03236308109471077,0.03125960937231079,0.8256624852695951
ts_rolling_std20_feature_253,0.03377715924556323,0.029453088977098123,0.8256562965634643
ts_historical_zscore20_feature_274,0.01754822013799911,0.04232388274465141,0.8256562209200653
feature_094,-0.027926416335271792,-0.02593164905489654,0.8256546126462172
feature_087,0.013018400161219346,0.0070436219111584515,0.8256501425442511
feature_085,0.007391543445157113,0.006290450070430357,0.8256416146426925
ts_minus_ema20_feature_274,0.02495275225284099,0.032787838480023646,0.825637139027175
ts_minus_ema20_feature_115,0.024952757062178414,0.03278761032546963,0.8256371374121296
feature_133,0.006716008585473209,0.0023742994482072433,0.8256287754426654
feature_248,0.02782111687213902,0.028272878535335288,0.8256277993639167
feature_208,0.02601897333608807,0.02754585960794496,0.8256263151643017
feature_155,-0.021102557478943358,-0.014412704702272978,0.8256207282224254
feature_217,-0.016873163931622633,-0.022247668903642055,0.8256192462260221
ts_minus_ema20_feature_296,0.030664015120544612,0.028961034097700337,0.825618181299579
feature_084,0.014209453522471719,0.001816032421124142,0.8256164359713448
feature_038,-0.016294165896906344,-0.015309731369543875,0.8256126169151443
ts_historical_zscore20_feature_155,0.027239328949212247,0.02646027370813,0.8256097590229287
ts_minus_ema20_feature_288,0.019436532128617626,0.03275116493529229,0.825608189533136
feature_300,0.00367305179350729,0.0007594690915173841,0.8256024187648133
ts_historical_zscore20_feature_236,0.03095317969387904,0.02289908225064054,0.8256006332385875
feature_132,0.004486046223143521,0.0021653098943084583,0.8255942967058671
feature_077,0.004118626514841879,0.0014045942235273983,0.825593353272461
feature_113,-0.02161211910262669,-0.026783358377843885,0.8255890562005278
feature_130,0.0036886843765456105,0.0008954965584448934,0.8255886115137739
feature_308,-0.01057683858960671,-0.033674725785346804,0.8255880156109006
ts_historical_zscore20_feature_079,0.02254183292103372,0.022377224838612927,0.8255858457264218
feature_257,-0.02211209679450548,-0.015308225976235806,0.8255855394020877
ts_historical_zscore20_feature_231,-0.012279766721205222,-0.027704938095161797,0.8255848708422192
feature_161,0.015440446833177008,0.024842082192124016,0.8255848174668842
feature_111,-0.017768772251177244,-0.029036553929434814,0.8255847109245634
feature_276,-0.01973937045368207,-0.02739160093453631,0.825584501616021
feature_117,-0.01973934005527635,-0.027391585907775358,0.8255845014458298
feature_109,-0.021259538058018782,-0.01699447997836192,0.8255839794173709
feature_313,-0.012027635341289299,-0.03801525556294291,0.8255835708442192
feature_288,0.03368290700486389,0.04834214302211446,0.8255820320835716
feature_000,-0.011510654932140556,-0.037844738077738915,0.8255795505594047
feature_162,0.024337095537989545,0.015361616752580897,0.8255767363927359
feature_185,-0.014684444897374766,-0.019603230641520076,0.8255763948659719
feature_013,-0.007340384492040729,-0.030418113319356906,0.8255746846648517
ts_rolling_std20_feature_061,0.012275246639757494,0.04108880210371651,0.8255722746791602
feature_263,-0.010584436439149652,-0.03746170699068675,0.8255720693699959
ts_delta5_feature_231,-0.012542149630491056,-0.023564366702042986,0.8255708981682192
ts_minus_ema20_feature_104,0.011108333260607835,0.011457778269007098,0.8255708938799815
